,precision,recall,f1-score,support
ok,0.0,0.0,0.0,2.0
sá,0.9808153477218226,0.9430171277997365,0.9615449202350965,3036.0
hann,0.0,0.0,0.0,0.0
vera,0.8928571428571429,0.8320726172465961,0.8613938919342208,1322.0
at,0.9982425307557118,0.9995600527936648,0.9989008573312816,2273.0
er,0.876878612716763,0.9445828144458281,0.9094724220623501,1606.0
en,0.9977289931869796,0.9992418498862775,0.9984848484848485,1319.0
í,0.0,0.0,0.0,0.0
til,0.0,0.0,0.0,0.0
þá,0.908720456397718,0.9919928825622776,0.9485325393449596,1124.0
maðr,0.0,0.0,0.0,0.0
hafa,0.9731343283582089,0.9848942598187311,0.978978978978979,331.0
á,0.946969696969697,0.9552401746724891,0.9510869565217391,916.0
ek,0.9894179894179894,0.8904761904761904,0.9373433583959899,210.0
sinn,0.84,0.984375,0.9064748201438849,128.0
með,0.0,0.0,0.0,0.0
konungr,0.0,0.0,0.0,0.0
eigi,0.9878234398782344,1.0,0.9938744257274119,649.0
svá,0.0,0.0,0.0,0.0
sem,0.0,0.0,0.0,0.0
þú,0.808641975308642,0.7705882352941177,0.7891566265060241,170.0
af,0.0,0.0,0.0,0.0
þar,1.0,0.9982517482517482,0.9991251093613298,572.0
skulu,0.9,0.75,0.8181818181818182,24.0
,0.7719298245614035,0.7674418604651163,0.7696793002915452,172.0
við,0.9946714031971581,1.0,0.9973285841495992,560.0
koma,1.0,1.0,1.0,11.0
segja,0.0,0.0,0.0,0.0
nú,0.0,0.0,0.0,0.0
allr,1.0,1.0,1.0,12.0
fyrir,0.9866666666666667,0.9923371647509579,0.9894937917860553,522.0
fara,0.3584905660377358,0.475,0.40860215053763443,40.0
um,1.0,0.9938775510204082,0.9969293756397134,490.0
munu,0.9724770642201835,0.99375,0.9829984544049459,320.0
ef,0.9977272727272727,1.0,0.9988623435722411,439.0
sjá,0.532258064516129,0.7232876712328767,0.6132404181184669,365.0
taka,0.8484848484848485,1.0,0.9180327868852459,28.0
gera,0.7727272727272727,0.9807692307692307,0.864406779661017,52.0
mikill,0.6417910447761194,0.5119047619047619,0.5695364238410596,84.0
vilja,0.8897058823529411,1.0,0.9416342412451362,121.0
hon,0.978891820580475,1.0,0.9893333333333333,371.0
engi,0.9792746113989638,1.0,0.9895287958115183,189.0
sik,0.9315589353612167,0.9176029962546817,0.9245283018867925,267.0
annarr,0.0,0.0,0.0,0.0
eða,0.3333333333333333,0.2,0.25,5.0
mǽla,0.88,1.0,0.9361702127659575,22.0
verða,0.9181818181818182,0.9711538461538461,0.9439252336448598,208.0
eftir,0.9966887417218543,0.9933993399339934,0.9950413223140496,303.0
ganga,1.0,0.9787234042553191,0.989247311827957,47.0
eiga,0.7899159663865546,0.8909952606635071,0.8374164810690423,211.0
þessi,0.577922077922078,0.3284132841328413,0.4188235294117647,271.0
hinn,0.9090909090909091,0.2777777777777778,0.425531914893617,36.0
einn,0.0,0.0,0.0,3.0
láta,0.9787234042553191,1.0,0.989247311827957,92.0
hverr,0.7931034482758621,0.8214285714285714,0.8070175438596491,28.0
heita,0.868421052631579,0.9705882352941176,0.9166666666666666,34.0
upp,0.0,0.0,0.0,0.0
vér,0.25,0.875,0.3888888888888889,8.0
mega,0.9574468085106383,1.0,0.9782608695652174,135.0
þvíat,0.0,0.0,0.0,0.0
sonr,1.0,0.7441860465116279,0.8533333333333334,43.0
síðan,0.0,0.0,0.0,0.0
kveða,0.8837209302325582,1.0,0.9382716049382716,38.0
fá,0.7457627118644068,0.9166666666666666,0.822429906542056,48.0
þykkja,0.8378378378378378,0.8611111111111112,0.8493150684931506,108.0
minn,0.7058823529411765,0.7792207792207793,0.7407407407407407,77.0
vel,0.96045197740113,0.9941520467836257,0.9770114942528736,171.0
margr,1.0,0.045454545454545456,0.08695652173913043,22.0
búa,0.9166666666666666,0.717391304347826,0.8048780487804879,46.0
land,0.9811320754716981,1.0,0.9904761904761905,52.0
dagr,0.0,0.0,0.0,0.0
góðr,0.5,0.9444444444444444,0.6538461538461539,18.0
bera,0.9302325581395349,0.9302325581395349,0.9302325581395349,86.0
guð,0.968,0.968,0.968,125.0
biðja,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
skip,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
frá,1.0,0.9928571428571429,0.996415770609319,140.0
egill,0.9788732394366197,1.0,0.9893238434163701,139.0
leggja,0.7222222222222222,0.9285714285714286,0.8125,14.0
fé,0.0,0.0,0.0,0.0
gefa,1.0,1.0,1.0,4.0
mál,0.8857142857142857,0.8611111111111112,0.8732394366197183,36.0
vita,0.9294117647058824,1.0,0.9634146341463414,79.0
þinn,0.6818181818181818,1.0,0.8108108108108109,15.0
hǫnd,0.9444444444444444,1.0,0.9714285714285714,68.0
hér,0.0,0.0,0.0,0.0
sitja,0.75,0.75,0.75,8.0
þó,0.9172932330827067,1.0,0.9568627450980393,122.0
lið,0.9795918367346939,0.9795918367346939,0.9795918367346939,98.0
hvat,0.9913793103448276,1.0,0.9956709956709957,115.0
kalla,0.0,0.0,0.0,1.0
ór,0.0,0.0,0.0,0.0
út,1.0,1.0,1.0,2.0
standa,0.0,0.0,0.0,2.0
yfir,0.0,0.0,0.0,0.0
spyrja,0.0,0.0,0.0,0.0
mjǫk,0.0,0.0,0.0,0.0
fram,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
nøkkurr,0.7368421052631579,0.6885245901639344,0.711864406779661,61.0
kona,0.0,0.0,0.0,0.0
fyrr,0.7857142857142857,0.6875,0.7333333333333333,32.0
finna,0.8043478260869565,1.0,0.891566265060241,37.0
þegar,0.0,0.0,0.0,0.0
áðr,0.0,0.0,0.0,0.0
halda,1.0,0.15384615384615385,0.26666666666666666,13.0
slíkr,0.0,0.0,0.0,0.0
ér,0.4864864864864865,0.7741935483870968,0.5975103734439834,93.0
sjalfr,0.0,0.0,0.0,0.0
vetr,1.0,0.9545454545454546,0.9767441860465116,22.0
falla,0.8604651162790697,0.9487179487179487,0.9024390243902439,39.0
enn,0.9154929577464789,0.6842105263157895,0.7831325301204819,95.0
finnbogi,0.9545454545454546,1.0,0.9767441860465116,21.0
ǽtla,0.0,0.0,0.0,0.0
ráð,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0
setja,0.6428571428571429,1.0,0.782608695652174,18.0
ráða,0.9782608695652174,0.9782608695652174,0.9782608695652174,46.0
faðir,1.0,1.0,1.0,38.0
várr,0.6923076923076923,0.21951219512195122,0.3333333333333333,41.0
ríða,0.9629629629629629,1.0,0.9811320754716981,26.0
bjóða,0.8,0.9777777777777777,0.88,45.0
ár,0.9,0.5070422535211268,0.6486486486486487,71.0
nema,0.0,0.0,0.0,0.0
hallfreðr,0.0,0.0,0.0,0.0
þóat,0.30434782608695654,0.3333333333333333,0.3181818181818182,21.0
hlutr,0.8064516129032258,0.78125,0.7936507936507936,32.0
heldr,0.9148936170212766,1.0,0.9555555555555556,86.0
inn,0.6201550387596899,0.9411764705882353,0.7476635514018691,85.0
jǫrð,0.0,0.0,0.0,0.0
undir,1.0,0.9880952380952381,0.9940119760479041,84.0
heim,0.9222222222222223,0.9880952380952381,0.9540229885057471,84.0
svara,1.0,1.0,1.0,12.0
liggja,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
bróðir,0.0,0.0,0.0,0.0
drepa,0.5,0.5,0.5,6.0
borg,0.0,0.0,0.0,0.0
aftr,0.0,0.0,0.0,0.0
mǫrk,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
silfr,1.0,1.0,1.0,5.0
skilja,0.5,0.3333333333333333,0.4,3.0
saman,0.0,0.0,0.0,0.0
sǫk,0.8541666666666666,1.0,0.9213483146067416,41.0
lítill,0.2,0.16666666666666666,0.18181818181818182,12.0
sǿkja,0.0,0.0,0.0,4.0
jarl,0.0,0.0,0.0,0.0
orð,0.0,0.0,0.0,0.0
glúmr,0.0,0.0,0.0,0.0
veita,0.45454545454545453,0.5555555555555556,0.5,9.0
niðr,0.0,0.0,0.0,0.0
dóttir,0.0,0.0,0.0,0.0
ríki,0.9583333333333334,1.0,0.9787234042553191,46.0
þér,0.3333333333333333,0.06349206349206349,0.10666666666666667,63.0
báðir,0.2857142857142857,0.08695652173913043,0.13333333333333333,23.0
alexander,0.0,0.0,0.0,0.0
kormákr,0.0,0.0,0.0,0.0
halfr,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
staðr,0.9487179487179487,1.0,0.9736842105263158,37.0
þórolfr,0.0,0.0,0.0,0.0
hlaupa,0.0,0.0,0.0,0.0
hǫfðingi,0.9545454545454546,1.0,0.9767441860465116,21.0
þing,0.0,0.0,0.0,0.0
grímr,0.0,0.0,0.0,0.0
brott,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
kunna,1.0,1.0,1.0,3.0
heyra,0.0,0.0,0.0,0.0
mánuðr,1.0,0.9743589743589743,0.987012987012987,39.0
helgi,0.8,0.8571428571428571,0.8275862068965517,56.0
hversu,0.0,0.0,0.0,0.0
sverð,0.0,0.0,0.0,0.0
nǽr,0.3953488372093023,0.8947368421052632,0.5483870967741935,19.0
gjalda,0.9565217391304348,1.0,0.9777777777777777,44.0
hvárr,0.59375,0.6551724137931034,0.6229508196721312,29.0
senda,1.0,1.0,1.0,9.0
meiri,0.4153846153846154,0.5,0.453781512605042,54.0
frǽndi,0.0,0.0,0.0,0.0
vit,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
sýna,0.0,0.0,0.0,5.0
útan,0.0,0.0,0.0,0.0
fǿra,0.35,0.4,0.37333333333333335,35.0
vinna,0.0,0.0,0.0,1.0
bóndi,0.2,0.5,0.2857142857142857,2.0
herr,1.0,1.0,1.0,26.0
vísa,0.9090909090909091,1.0,0.9523809523809523,40.0
tala,0.0,0.0,0.0,0.0
réttr,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
leita,0.0,0.0,0.0,2.0
tími,0.0,0.0,0.0,0.0
fylgja,0.0,0.0,0.0,0.0
ferð,0.0,0.0,0.0,0.0
snúa,0.0,0.0,0.0,0.0
heilagr,0.631578947368421,0.631578947368421,0.631578947368421,19.0
nátt,0.675,0.9642857142857143,0.7941176470588235,28.0
fundr,0.0,0.0,0.0,0.0
sumar,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
þurfa,1.0,0.5,0.6666666666666666,4.0
hǫggva,0.7142857142857143,1.0,0.8333333333333334,10.0
fyrri,0.8235294117647058,0.6086956521739131,0.7,23.0
bǿr,1.0,1.0,1.0,6.0
lengi,0.375,0.5454545454545454,0.4444444444444444,11.0
